merchant_id,business_age_days,merchant_category,merchant_category_name,city,city_tier,has_soundbox,qr_active,gst_registered,is_ghost,is_default,loan_history_count,prev_defaults,bsi_score,revenue_cv,transaction_entropy,settlement_regularity,active_days_ratio,avg_daily_revenue,revenue_trend_slope,device_session_entropy,location_variance,temporal_pattern_score,login_hour_entropy,transaction_velocity,unique_device_count,ip_change_frequency,weekend_activity_ratio,gnn_risk_score,neighbor_avg_default_rate,network_centrality,high_risk_neighbor_count,anomaly_score
M000000,936,3,Clothing/Textile,Lucknow,2,0,1,1,0,0,4,0,0.7338,0.6249,4.4505,0.9,1.0,2386.42,3.0805,0.5311,0.5315,0.5108,0.5586,5.391,2,0.2502,0.5542,0.1538,0.2,0.0005,1,0.6206
M000001,1273,6,Services/Salon,Indore,3,1,1,1,0,0,3,0,0.7458,0.5897,4.4433,0.9,1.0,1139.64,-4.2001,0.6362,0.1683,0.7806,0.5153,1.4022,1,1.483,0.1047,0.2632,0.0714,0.0014,1,0.7956
M000002,674,6,Services/Salon,Surat,2,1,1,1,0,0,1,0,0.7561,0.5295,4.4513,0.8444,1.0,2363.55,-6.21,0.7753,0.3126,0.4723,0.3534,12.8986,2,0.5702,0.2114,0.3915,0.375,0.0008,3,0.7389
M000003,105,0,Kirana/Grocery,Jaipur,2,1,1,1,0,0,1,0,0.7499,0.579,4.4504,0.9,1.0,3149.53,1.1838,0.6475,0.0895,0.8789,0.4648,4.8864,2,0.338,0.1207,0.2061,0.2222,0.0009,2,0.8028
M000004,853,5,Transport/Auto,Bengaluru,1,0,1,0,0,1,2,2,0.7325,0.61,4.454,0.8667,1.0,4836.79,-15.9965,0.6379,0.3947,0.9475,0.8774,2.651,2,1.269,0.6269,0.8269,0.3333,0.0009,3,0.7208
M000005,1372,3,Clothing/Textile,Bengaluru,1,1,1,1,0,0,4,0,0.7833,0.5033,4.4565,0.9333,1.0,4972.34,-14.8805,0.9125,0.7536,0.3663,0.4088,0.8028,3,0.5389,0.1587,0.2387,0.0,0.0007,0,0.7341
M000006,1091,3,Clothing/Textile,Mumbai,1,1,1,0,0,0,1,0,0.7803,0.4906,4.4411,0.9,1.0,4917.05,-0.2929,0.5402,0.0727,0.811,0.2864,2.177,2,3.7249,0.2107,0.231,0.1667,0.0006,1,0.7812
M000007,595,6,Services/Salon,Varanasi,3,1,1,1,0,0,1,1,0.7276,0.6557,4.4521,0.9222,1.0,1253.98,-3.8265,0.3846,0.2905,0.5581,0.4076,3.8159,2,0.9555,0.4882,0.379,0.1429,0.0007,1,0.6438
M000008,1299,2,Medical/Pharmacy,Jaipur,2,1,1,1,0,1,1,1,0.7326,0.5968,4.4521,0.8444,1.0,2630.27,-15.7766,0.6107,0.0978,0.8945,0.9669,5.038,4,1.6057,0.2519,0.5261,0.0,0.0005,0,0.7847
M000009,1193,7,Education/Tuition,Lucknow,2,1,1,0,0,0,5,1,0.7862,0.4677,4.4428,0.8889,1.0,1887.63,1.9269,0.619,0.5302,0.5966,0.7155,2.786,2,3.2471,0.4123,0.2107,0.0,0.0004,0,0.6718
