src,dst,weight
M007007,M006297,1210.39
M001639,M000385,2510.81
M003205,M008017,1502.4
M006309,M009938,1519.95
M007289,M001933,3637.47
M001858,M001728,6704.74
M009054,M006866,851.1
M001088,M004093,10303.39
M002541,M004062,30.71
M008386,M002498,225.31
M005709,M007844,45698.37
M009404,M001952,1497.71
M003518,M007832,1472.81
M003573,M002381,700.39
M004640,M000512,336.14
M008726,M000302,2345.48
M006287,M005106,2386.79
M005323,M007560,2250.74
M002839,M000824,5470.72
M009615,M002620,796.76
M009785,M004556,1082.18
M007335,M008376,2389.51
M008473,M002521,10875.71
M009455,M009988,547.61
M005430,M005066,337.55
M009315,M003320,1115.82
M004123,M009995,2496.08
M001028,M005985,258.83
M005261,M009690,1516.01
M006143,M009210,484.31
M008763,M000249,2360.85
M001464,M009204,85.48
M007766,M002888,268.62
M001759,M000284,2840.37
M006026,M006964,1139.37
M007382,M004482,4260.66
M003794,M001027,10166.79
M007675,M004212,393.03
M004551,M007599,605.58
M004665,M006116,2874.87
M000098,M001574,6334.0
M006099,M006940,43048.78
M003275,M008144,108.9
M001692,M009754,4274.69
M001415,M008611,2616.53
M006236,M004748,532.5
M006596,M008749,575.94
M008958,M005248,134.03
M007576,M007730,3539.19
M006938,M006735,2441.03
M006330,M007012,4748.82
M009990,M005591,1122.67
M009137,M008776,3261.58
M001702,M009229,3883.53
M006161,M005102,4085.0
M000767,M003633,1953.9
M001261,M006573,2633.35
M003203,M007986,1898.82
M001963,M005802,814.34
M007142,M003859,2083.84
M009897,M007955,2798.27
M002747,M006007,223.75
M002660,M001138,4.36
M009044,M005293,141.3
M009606,M007015,1846.97
M004448,M007449,227.92
M002709,M001109,686.82
M006807,M006765,1593.17
M007648,M008554,1011.23
M003142,M007484,725.34
M004826,M008435,578.98
M003918,M005869,2232.17
M009207,M007538,807.22
M001139,M004180,12324.39
M009943,M000710,215.13
M007667,M002512,365.53
M006032,M003036,978.78
M002875,M001548,964.05
M009816,M005736,974.68
M008117,M006072,6543.42
M002317,M006289,942.23
M004492,M003092,406.39
M000293,M000268,13729.69
M005264,M005969,393.69
M007584,M005988,915.41
M009200,M006419,1204.37
M008395,M006820,87.81
M000255,M003876,214.99
M006316,M006083,2321.52
M008239,M001723,31267.62
M006248,M001882,146.17
M000612,M008194,738.11
M002436,M008034,315.56
M000833,M003523,1536.58
M000777,M004352,250.39
M007353,M001274,311.6
M008379,M005528,22.11
M003172,M007320,1870.82
M000486,M001592,1387.06
M002357,M007919,3283.74
M007859,M009294,6877.72
M000686,M008442,17382.31
M003146,M002718,1497.79
M007323,M001572,2482.88
M008404,M009745,2210.93
M003428,M003395,262.73
M009279,M002771,188.03
M000537,M003324,292.12
M004949,M001011,999.23
M007660,M006946,2334.91
M000247,M009957,1661.93
M001853,M002205,652.47
M008410,M008254,36.32
M009887,M007155,2265.2
M007795,M007967,348.59
M003631,M001650,5196.89
M004261,M008587,2634.01
M008344,M005665,116.66
M007967,M004843,301.97
M008931,M000995,2065.44
M004075,M000651,935.64
M005684,M009893,184.86
M007315,M001327,681.18
M000031,M007513,16557.23
M006939,M001396,578.33
M004942,M006037,392.02
M003351,M004784,9534.21
M001774,M002781,692.98
M003480,M000723,359.38
M006354,M004325,360.83
M007394,M001047,1180.23
M005368,M009746,810.67
M005618,M004361,534.14
M003308,M004439,1134.45
M004349,M006929,2164.86
M009306,M003023,313.98
M003746,M008253,795.76
M008777,M007143,234.09
M002805,M001563,501.72
M008812,M004816,950.83
M009277,M000432,2864.0
M004097,M009488,27348.77
M004343,M004308,4931.49
M009940,M002002,2833.04
M006313,M002505,343.47
M002332,M007619,39285.48
M003715,M002138,1567.97
M006364,M008460,1280.52
M006668,M005461,942.49
M003980,M001464,1647.67
M001927,M001430,8274.44
M001322,M002925,2422.52
M004242,M009000,1216.93
M004842,M009882,712.15
M009316,M006729,76.1
M000019,M004802,1691.12
M009378,M007002,136.63
M009926,M004071,351.05
M004110,M004232,854.82
M002607,M004153,1591.98
M001139,M008596,1289.76
M004731,M006962,1238.85
M002949,M004727,940.41
M006977,M003649,883.8
M005564,M006608,750.68
M001980,M007904,2497.1
M004293,M002754,5718.19
M001724,M005656,1498.45
M008896,M005789,619.98
M001062,M007701,10214.65
M001024,M000118,1350.26
M001700,M004332,317.8
M004802,M006249,284.96
M006108,M000911,1099.79
M006699,M004387,5877.52
M001787,M006724,313.61
M003072,M003872,2876.86
M006467,M005860,2008.0
M009419,M005991,30.1
M002950,M006570,323.02
M006327,M002795,288.18
M006792,M004384,1842.79
M003946,M003834,53.89
M003763,M000254,1506.84
M007414,M007076,639.62
M009893,M002064,4363.76
M000114,M008518,1090.59
M008437,M004806,6254.97
M004315,M006981,1357.01
M003712,M006016,1989.95
M006843,M000428,4806.81
M000450,M005921,2652.9
M002228,M003637,5299.83
M005658,M006247,4315.27
M006706,M003618,1687.29
M008282,M005621,42.88
M008222,M008444,85.75
M002287,M007413,8968.97
M007376,M002031,644.27
M008417,M007963,1994.76
M009203,M001125,1973.02
M009360,M009230,6820.92
M007943,M008351,2805.9
M000191,M005467,279.4
M007698,M002709,447.1
M008842,M000676,496.49
M006636,M002251,1950.6
M002107,M002911,192.18
M009210,M001815,13766.19
M005820,M007015,148.83
M003344,M001920,4746.67
M007316,M006922,1951.88
M006689,M009757,1046.7
M000144,M009986,21252.03
M005759,M001391,567.26
M006538,M007141,12962.99
M001727,M005002,54.56
M009749,M001007,3262.13
M004632,M000789,143.62
M005807,M006732,2173.66
M002172,M004750,698.48
M002519,M004203,9332.46
M004396,M001749,157.16
M001022,M001851,84.29
M004467,M009678,235.18
M006498,M002149,4783.76
M008895,M007641,5396.15
M009022,M003847,208.43
M002683,M004892,123.16
M004617,M008318,539.36
M001740,M008334,4540.4
M004452,M001763,666.07
M002299,M007860,2472.12
M000470,M007871,65.7
M000467,M001205,56.86
M006901,M001264,14407.13
M005852,M008288,3094.95
M003866,M006350,2647.93
M006183,M000860,2104.77
M003331,M002736,264.72
M001690,M002712,21746.19
M002717,M009529,204.79
M006377,M003526,15963.04
M003242,M002332,8200.83
M000296,M009152,146.67
M008612,M004726,1630.69
M009078,M006443,93.25
M008855,M003098,276.58
M007198,M006002,1426.65
M001279,M008224,1112.25
M002046,M004731,1948.49
M007742,M002795,738.27
M000351,M005942,958.41
M008403,M000861,519.19
M003979,M008213,1294.26
M006341,M005217,1715.78
M000604,M003787,1573.0
M009104,M000770,12762.05
M004728,M000221,37.16
M003941,M000219,306.59
M000723,M004461,6831.39
M008466,M001479,5774.73
M009460,M001779,77.91
M004421,M007988,199.17
M003288,M006332,433.03
M001936,M004862,623.41
M001623,M001102,2467.76
M001424,M008151,12153.97
M000403,M007184,65.32
M007938,M008694,790.51
M006038,M009538,1675.26
M003358,M006415,202.73
M004536,M007855,1344.77
M004483,M004354,559.93
M001363,M003594,3751.39
M009431,M006842,1745.15
M002379,M008892,1081.96
M000004,M001756,4122.04
M000115,M008766,2425.07
M005069,M003004,2019.63
M003527,M002236,620.31
M004171,M001823,165.33
M003779,M001419,336.64
M008405,M004676,6754.32
M007278,M001061,1098.3
M003362,M002439,517.51
M003389,M000267,967.49
M003752,M002157,321.27
M006623,M009495,776.2
M008700,M005485,722.09
M005504,M006346,508.14
M005910,M002933,2008.25
M007863,M009419,192.69
M002302,M004577,216.71
M007771,M007600,2818.19
M001643,M006610,280.9
M000088,M001527,1858.33
M009716,M000708,1036.16
M004444,M000966,808.57
M005904,M001188,1670.44
M008806,M002571,3126.5
M001727,M003192,33.33
M008839,M006997,1174.37
M008852,M006684,349.9
M002080,M001397,14.83
M009816,M003262,1193.65
M005771,M005998,82.98
M005970,M003680,1583.11
M004904,M008609,5193.53
M000402,M004862,698.69
M003137,M003188,3984.45
M006286,M001404,850.65
M002377,M000051,37.81
M009753,M008790,273.22
M006885,M005024,181.6
M008680,M000562,585.3
M001774,M008778,20.36
M002224,M001296,2120.96
M001416,M000324,4536.81
M008820,M004540,2226.38
M005983,M006831,421.38
M001222,M005207,153.68
M009785,M000571,4436.27
M009181,M001268,3165.86
M008482,M002145,109.75
M006101,M008621,170.74
M004474,M003735,2790.63
M001118,M007000,757.8
M005820,M004762,2968.48
M009800,M005989,454.6
M009874,M008043,5692.49
M008083,M009663,8504.85
M007395,M008007,21278.22
M007027,M001979,961.05
M008241,M000552,69.11
M001563,M001696,3564.82
M006500,M007291,309.27
M001623,M003475,3056.67
M000012,M000389,3395.85
M002670,M007640,178.06
M004488,M004605,2166.51
M006728,M007796,108.23
M009865,M008016,3215.26
M006427,M001372,658.28
M006338,M008664,5911.93
M006502,M001835,357.35
M006068,M005164,1333.61
M007791,M007589,1859.73
M007224,M008889,758.9
M007630,M008595,5329.79
M009552,M005359,8737.56
M004396,M000290,1023.68
M003920,M009063,25.86
M005817,M007125,608.12
M009663,M007416,3.36
M003493,M005262,20189.94
M001548,M000145,932.77
M001803,M006904,3337.02
M005585,M004498,651.52
M008626,M000911,431.41
M007198,M001944,1822.11
M007007,M000875,1733.36
M005342,M007166,6782.02
M007768,M008737,15060.44
M007100,M003355,1801.89
M003316,M002189,5554.28
M008726,M001080,582.88
M004824,M000328,2078.15
M006267,M002538,593.27
M004592,M007043,28.53
M002454,M003074,4974.87
M003428,M000104,2227.78
M004649,M007864,920.37
M007262,M008251,2455.89
M004627,M002386,1982.7
M007857,M008702,575.15
M002328,M003431,408.8
M007482,M003345,4458.77
M008219,M009124,360.1
M002274,M007926,2236.21
M004177,M008294,703.51
M008315,M002567,356.04
M007424,M000765,544.91
M009367,M008449,3182.76
M000517,M005313,1864.06
M005615,M009758,351.72
M002549,M005379,13212.85
M007244,M006182,835.1
M009631,M006799,4923.95
M002029,M007619,12477.48
M006382,M000424,731.97
M006309,M001236,95.51
M000227,M003664,7936.94
M004564,M000636,985.53
M003802,M001598,5817.3
M009117,M000758,668.27
M009058,M007009,178.55
M009774,M006872,715.04
M002635,M000763,1087.5
M002857,M006849,4909.64
M009647,M008656,231.16
M003429,M001124,2571.6
M008950,M004634,135.52
M007138,M003069,344.82
M009120,M001120,2691.17
M008986,M003968,6122.1
M001864,M004078,3792.0
M004311,M007392,3014.88
M006795,M000508,676.21
M008278,M004349,4602.72
M009928,M002479,731.8
M000090,M008775,1661.49
M007884,M001474,326.61
M006391,M009365,498.07
M008470,M007860,410.5
M004958,M006196,2223.42
M008491,M006054,722.88
M005884,M007532,3009.33
M002348,M008419,98.16
M009751,M004070,225.28
M008577,M009967,1219.54
M009139,M007729,984.64
M005619,M008639,1530.08
M001870,M005987,2331.72
M004545,M008434,184.39
M001777,M002202,12544.3
M008031,M009282,930.02
M006671,M007978,926.92
M004973,M009416,278.44
M000792,M000473,396.02
M009262,M003567,3475.38
M001921,M004497,2400.17
M008382,M003840,3037.59
M005459,M005921,7383.81
M007498,M003560,1874.87
M004470,M004809,79.46
M008597,M009751,411.0
M005198,M005923,664.69
M007713,M002380,128.03
M008300,M005819,358.25
M001094,M007866,417.01
M004075,M000646,30083.18
M000320,M002379,863.67
M006408,M002378,5568.31
M009815,M008831,1733.62
M002971,M003734,862.39
M009986,M000539,98.63
M005447,M002924,1406.55
M006110,M008909,2748.91
M007852,M008620,728.39
M009598,M009520,2069.12
M008324,M007951,2640.62
M005658,M006117,147.11
M002782,M007724,1765.87
M008193,M005141,361.0
M009334,M008934,1784.57
M004098,M005014,583.8
M007694,M009189,187.0
M007880,M007260,1502.93
M009893,M002195,5255.04
M008471,M005716,684.88
M008438,M007771,904.16
M008264,M002895,7708.26
M006622,M004832,265.52
M002804,M006514,1164.36
M007142,M003497,2906.82
M006463,M000180,45.7
M008682,M009155,208.28
M006288,M002720,4615.19
M000184,M002016,585.11
M005203,M000277,297.58
M000003,M007837,915.09
M004329,M008763,723.87
M001460,M007384,1705.3
M009784,M006536,215.74
M002634,M003140,3245.36
M008221,M001465,932.3
M005858,M007814,254.07
M006985,M001948,38813.36
M008053,M008956,305.04
M003422,M000351,702.15
M000615,M007858,2544.55
M008170,M003227,576.91
M007312,M005656,156.21
M001621,M004630,3522.44
M006810,M006432,828.67
M004955,M002464,731.06
M006098,M007913,5593.25
M009792,M006762,8198.0
M002590,M004918,19117.95
M009741,M006177,1816.06
M007753,M006044,744.11
M002360,M001076,4896.73
M004420,M000294,623.95
M005012,M002948,1089.66
M004852,M002120,2640.56
M006545,M004902,433.65
M004961,M001132,1538.18
M008667,M009342,640.86
M002285,M006104,460.9
M006975,M009678,889.48
M006448,M001948,3230.53
M008363,M003717,974.26
M002716,M003048,141.39
M002192,M000605,278.29
M001845,M003518,812.32
M007950,M006156,545.3
M005216,M007592,6033.68
M000709,M002495,476.7
M001548,M002217,8366.52
M004790,M000124,14994.59
M007515,M007957,341.74
M003249,M005297,500.36
M008037,M009841,1092.74
M005757,M007585,610.75
