merchant_id,business_age_days,merchant_category,merchant_category_name,city,city_tier,has_soundbox,qr_active,gst_registered
M000000,936,3,Clothing/Textile,Lucknow,2,0,1,1
M000001,1273,6,Services/Salon,Indore,3,1,1,1
M000002,674,6,Services/Salon,Surat,2,1,1,1
M000003,105,0,Kirana/Grocery,Jaipur,2,1,1,1
M000004,853,5,Transport/Auto,Bengaluru,1,0,1,0
M000005,1372,3,Clothing/Textile,Bengaluru,1,1,1,1
M000006,1091,3,Clothing/Textile,Mumbai,1,1,1,0
M000007,595,6,Services/Salon,Varanasi,3,1,1,1
M000008,1299,2,Medical/Pharmacy,Jaipur,2,1,1,1
M000009,1193,7,Education/Tuition,Lucknow,2,1,1,0
M000010,1311,2,Medical/Pharmacy,Chennai,1,0,0,0
M000011,646,0,Kirana/Grocery,Varanasi,3,1,0,0
M000012,410,3,Clothing/Textile,Nagpur,3,1,1,0
M000013,877,2,Medical/Pharmacy,Chennai,1,1,1,0
M000014,1238,4,Electronics,Mumbai,1,1,1,0
M000015,332,4,Electronics,Bengaluru,1,1,1,1
M000016,785,7,Education/Tuition,Delhi,1,1,1,0
M000017,193,4,Electronics,Jaipur,2,1,1,0
M000018,1256,7,Education/Tuition,Jaipur,2,0,1,0
M000019,1461,4,Electronics,Hyderabad,1,1,1,0
M000020,1263,7,Education/Tuition,Surat,2,1,1,0
M000021,130,7,Education/Tuition,Delhi,1,1,1,0
M000022,1499,7,Education/Tuition,Delhi,1,0,1,1
M000023,927,3,Clothing/Textile,Jaipur,2,1,1,0
M000024,812,4,Electronics,Lucknow,2,0,1,0
M000025,397,3,Clothing/Textile,Indore,3,0,1,0
M000026,1292,6,Services/Salon,Bengaluru,1,0,1,1
M000027,756,0,Kirana/Grocery,Pune,2,1,1,0
M000028,1344,7,Education/Tuition,Surat,2,0,1,0
M000029,401,0,Kirana/Grocery,Chennai,1,1,1,0
M000030,891,4,Electronics,Jaipur,2,0,1,0
M000031,1484,4,Electronics,Mumbai,1,0,1,0
M000032,309,4,Electronics,Hyderabad,1,1,1,0
M000033,345,7,Education/Tuition,Varanasi,3,1,1,0
M000034,1130,0,Kirana/Grocery,Nagpur,3,1,1,1
M000035,845,2,Medical/Pharmacy,Indore,3,1,1,1
M000036,180,0,Kirana/Grocery,Hyderabad,1,1,1,0
M000037,1449,4,Electronics,Mumbai,1,0,1,0
M000038,1038,2,Medical/Pharmacy,Ahmedabad,2,1,1,0
M000039,1350,7,Education/Tuition,Lucknow,2,1,1,0
M000040,698,2,Medical/Pharmacy,Bengaluru,1,1,1,1
M000041,436,1,Restaurant/Dhaba,Jaipur,2,0,1,0
M000042,316,6,Services/Salon,Hyderabad,1,0,1,0
M000043,946,3,Clothing/Textile,Varanasi,3,1,1,0
M000044,521,6,Services/Salon,Chennai,1,1,1,0
M000045,1062,4,Electronics,Surat,2,1,1,1
